gender,city,customer_segment,original_price,discount_pct,quantity,purchase_amount,purchase_hour,is_weekend,is_black_friday
Female,Atlanta,Returning,22.57,20,1,18.06,4,0,0
Male,Dallas,Returning,301.1,35,1,195.72,13,0,0
Female,Chicago,Loyal,499.54,35,1,324.7,16,1,0
Male,New York,Loyal,50.08,20,1,40.06,3,1,0
Male,Seattle,Loyal,196.88,25,2,295.32,5,1,0
Other,Phoenix,New,182.79,35,1,118.81,20,0,0
Female,Phoenix,Loyal,447.76,40,1,268.66,12,1,0
Male,New York,Returning,202.62,15,3,516.69,3,0,0
Female,New York,VIP,197.77,25,1,148.33,13,0,0
Female,San Francisco,New,44.65,25,1,33.49,16,0,0
Female,Chicago,Loyal,108.29,60,1,43.32,15,0,0
Male,Chicago,Returning,178.51,10,2,321.32,15,0,0
Female,Los Angeles,VIP,144.78,35,1,94.11,14,0,0
Male,San Francisco,Returning,874.39,35,1,568.35,8,0,0
Male,Atlanta,VIP,422.24,35,2,548.92,21,0,0
Female,Miami,Returning,14.27,15,1,12.13,1,0,0
Male,Phoenix,Returning,17.73,15,1,15.07,17,1,0
Male,Los Angeles,Loyal,70.87,25,1,53.15,7,0,0
Other,Phoenix,Loyal,86.12,15,4,292.8,10,1,0
Male,Phoenix,Returning,99.68,30,1,69.78,12,1,0
Other,Chicago,Loyal,1251.81,35,1,813.68,16,0,0
Other,Dallas,Loyal,367.34,15,1,312.24,2,0,0
Other,Houston,Returning,241.82,25,2,362.72,15,0,0
Female,Houston,New,104.48,25,3,235.08,0,1,0
Female,San Francisco,New,53.21,20,1,42.57,5,1,0
Female,Los Angeles,VIP,55.59,15,1,47.25,19,0,0
Female,Atlanta,New,176.3,40,1,105.78,1,0,0
Female,New York,Loyal,203.13,40,2,243.76,13,0,1
Male,Los Angeles,VIP,344.27,40,1,206.56,8,0,0
Male,Los Angeles,Returning,2193.35,20,2,3509.36,16,0,1
Female,Chicago,Returning,222.82,40,1,133.69,6,0,0
Female,New York,New,37.65,35,2,48.94,5,1,0
Other,Atlanta,New,2317.23,35,1,1506.2,6,1,0
Female,Phoenix,VIP,52.73,30,1,36.91,4,0,0
Other,San Francisco,New,1384.24,35,2,1799.52,19,0,0
Other,Seattle,New,41.93,15,2,71.28,4,1,0
Other,Houston,Loyal,73.5,60,2,58.8,6,0,0
Female,Chicago,New,939.42,15,2,1597.02,1,0,0
Female,Los Angeles,VIP,986.14,25,1,739.6,13,0,1
Female,San Francisco,Returning,17.56,15,1,14.93,19,1,0
Other,New York,Loyal,281.74,15,1,239.48,11,0,1
Other,San Francisco,Returning,944.3,30,1,661.01,4,0,0
Female,Chicago,New,70.63,30,1,49.44,21,1,0
Female,Atlanta,Loyal,196.91,40,1,118.15,14,0,0
Male,Chicago,Loyal,30.85,25,1,23.14,22,0,0
Female,New York,New,221.74,20,3,532.17,23,0,0
Other,Houston,Loyal,169.36,25,1,127.02,10,0,0
Female,Miami,New,268.04,15,3,683.49,9,0,0
Other,Atlanta,New,191.88,30,1,134.32,9,1,0
Female,New York,New,272.99,20,1,218.39,6,0,0
Female,New York,Returning,1247.26,25,2,1870.88,13,0,0
